movieId,title,genres,tmdbid,overview,production_countries,runtime,spoken_languages,vote_average,vote_count
146,"Amazing Panda Adventure, The (1995)","Adventure,Children",30765,"Far from home in the lush bamboo forests of China, ten-year-old Ryan Tyler, with the help of a young girl, goes on a wonderful journey to rescue a baby panda taken by poachers.",United States of America,84,"Dansk,English",5.6,87
147,"Basketball Diaries, The (1995)",Drama,10474,A high school basketball player’s life turns upside down after free-falling into the harrowing world of drug addiction.,United States of America,102,English,7.4,1956
148,"Awfully Big Adventure, An (1995)",Drama,22279,"Liverpool. 1947. Right after World War II, a star struck naive teenage girl joins a shabby theatre troupe in Liverpool. During a winter production of Peter Pan, the play quickly turns into a dark metaphor for youth as she becomes drawn into a web of sexual politics and intrigue and learns about the grown-up world of the theater.",United Kingdom,113,English,6.6,57
149,Amateur (1994),"Crime,Drama,Thriller",30157,"A man wakes up in an alley, bleeding and with no memory of who he is. He stumbles into a coffee shop and is befriended by a charitable ex-nun who is failing in her attempts to write marketable pornography.","France,United Kingdom,United States of America",105,English,6.3,86
150,Apollo 13 (1995),"Adventure,Drama,IMAX",568,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",United States of America,140,English,7.4,5335
151,Rob Roy (1995),"Action,Drama,Romance,War",11780,"In the highlands of Scotland in the 1700s, Rob Roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. When the money is stolen, Rob is forced into a Robin Hood lifestyle to defend his family and honour.","United Kingdom,United States of America",139,English,6.7,620
152,"Addiction, The (1995)","Drama,Horror",34996,A vampiric doctoral student tries to follow the philosophy of a nocturnal comrade and control her thirst for blood.,United States of America,82,English,6.5,266
153,Batman Forever (1995),"Action,Adventure,Comedy,Crime",414,Batman must battle a disfigured district attorney and a disgruntled former employee with help from an amorous psychologist and a young circus acrobat.,United States of America,121,English,5.4,5096
154,Beauty of the Day (Belle de jour) (1967),Drama,649,"Beautiful young housewife Séverine Serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband Pierre. When her lovestruck friend Henri mentions a secretive high-class brothel run by Madame Anais, Séverine begins to work there during the day under the name Belle de Jour. But when one of her clients grows possessive, she must try to go back to her normal life.","France,Italy",101,"Français,Español",7.4,869
155,Beyond Rangoon (1995),"Adventure,Drama,War",1873,Dr. Laura Bowman is a young widow who's unwittingly drawn into political turmoil while vacationing in Burma in the late 1980s. Bowman initially left San Francisco with her sister in an attempt to escape painful memories of her husband and son's violent deaths. But her fight to escape to Thailand could prove just as harrowing.,United States of America,100,English,6.6,79
156,Blue in the Face (1995),"Comedy,Drama",5894,"Auggie runs a small tobacco shop in Brooklyn, New York. The whole neighborhood comes to visit him to buy cigarettes and have some small talk. During the movie Lou Reed tries to explain why he has to have a cut on his health insurance bill if he keeps smoking and Madonna acts as a Singing Telegram.",United States of America,83,English,6.6,154
157,Canadian Bacon (1995),"Comedy,War",1775,"The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war with Canada.",United States of America,91,English,5.7,207
158,Casper (1995),"Adventure,Children",8839,"Casper is a kind young ghost who peacefully haunts a mansion in Maine. When specialist James Harvey arrives to communicate with Casper and his fellow spirits, he brings along his teenage daughter, Kat. Casper quickly falls in love with Kat, but their budding relationship is complicated not only by his transparent state, but also by his troublemaking apparition uncles and their mischievous antics.",United States of America,100,English,6.3,4541
159,Clockers (1995),"Crime,Drama,Mystery",20649,"Strike is a young city drug pusher under the tutelage of drug lord Rodney Little. When a night manager at a fast-food restaurant is found with four bullets in his body, Strike’s older brother turns himself in as the killer. Detective Rocco Klein doesn’t buy the story, however, setting out to find the truth, and it seems that all the fingers point toward Strike & Rodney.",United States of America,128,English,6.7,314
160,Congo (1995),"Action,Adventure,Mystery,Sci-Fi",10329,"Eight people embark on an expedition into the Congo, a mysterious expanse of unexplored Africa where human greed and the laws of nature have gone berserk. When the thrill-seekers -- some with ulterior motives -- stumble across a race of killer apes.",United States of America,109,English,5.5,871
161,Crimson Tide (1995),"Drama,Thriller,War",8963,"After the Cold War, a breakaway Russian republic with nuclear warheads becomes a possible worldwide threat. U.S. submarine Capt. Frank Ramsey signs on a relatively green but highly recommended Lt. Cmdr. Ron Hunter to the USS Alabama, which may be the only ship able to stop a possible Armageddon. When Ramsay insists that the Alabama must act aggressively, Hunter, fearing they will start rather than stop a disaster, leads a potential mutiny to stop him.",United States of America,116,English,7.2,1717
162,Crumb (1994),Documentary,26564,"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind.",United States of America,120,English,7.5,241
163,Desperado (1995),"Action,Romance,Western",8068,"El Mariachi plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho, for an action-packed, bullet-riddled showdown. With the help of his friend and a beautiful bookstore owner, El Mariachi tracks Bucho, takes on his army of desperados, and leaves his own trail of blood.","United States of America,Mexico",104,English,6.9,2804
164,Devil in a Blue Dress (1995),"Crime,Film-Noir,Mystery,Thriller",8512,"In late 1940s Los Angeles, Easy Rawlins is an unemployed black World War II veteran with few job prospects. At a bar, Easy meets DeWitt Albright, a mysterious white man looking for someone to investigate the disappearance of a missing white woman named Daphne Monet, who he suspects is hiding out in one of the city's black jazz clubs. Strapped for money and facing house payments, Easy takes the job, but soon finds himself in over his head.",United States of America,102,English,6.4,391
165,Die Hard: With a Vengeance (1995),"Action,Crime,Thriller",1572,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",United States of America,128,"English,Deutsch,Română",7.3,6005
166,"Doom Generation, The (1995)","Comedy,Crime,Drama",13552,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embarks on a sex- and violence-filled journey through a United States of psychos and quickie marts.","France,United States of America",83,English,6.4,245
167,Feast of July (1995),Drama,259209,"After an abandoned young woman in late 19th Century England is taken in by a rural couple with three handsome sons, tragic consequences result.","United Kingdom,United States of America",116,English,5.9,10
168,First Knight (1995),"Action,Drama,Romance",6520,"The timeless tale of King Arthur and the legend of Camelot are retold in this passionate period drama. Arthur is reluctant to hand the crown to Lancelot, and Guinevere is torn between her loyalty to her husband and her growing love for his rival. But Lancelot must balance his loyalty to the throne with the rewards of true love.",United States of America,134,English,6.1,1184
169,Free Willy 2: The Adventure Home (1995),"Adventure,Children,Drama",9073,Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,"France,United States of America",95,"Dansk,Português,""Bahasa melayu"",English,Italiano,""Bahasa indonesia""",5.9,574
170,Hackers (1995),"Action,Adventure,Crime,Thriller",10428,"Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.",United States of America,107,"English,Italiano,日本語,Pусский",6.3,1271
171,Jeffrey (1995),"Comedy,Drama",17447,"Jeffrey, a gay man living in New York City with an overwhelming fear of contracting AIDS, concludes that being celibate is the only option to protect himself. As fate would have it, shortly after his declaration of a sex-free existence, he meets the handsome Steve Howard, his dream man -- except for his HIV-positive status. Facing this dilemma, Jeffrey turns to his best friend and an outrageous priest for guidance.",United States of America,92,"English,Français",6.2,64
172,Johnny Mnemonic (1995),"Action,Sci-Fi,Thriller",9886,"In a dystopian 2021, Johnny is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits—and will kill him if the data is not removed in time—but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.","Canada,United States of America",97,"English,日本語",5.7,1335
173,Judge Dredd (1995),"Action,Crime,Sci-Fi",9482,"In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.",United States of America,96,English,5.8,2450
174,Jury Duty (1995),Comedy,19326,"When jobless Tommy Collins discovers that sequestered jurors earn free room and board as well as $5-a-day, he gets himself assigned to a jury in a murder trial. Once there, he does everything he can to prolong the trial and deliberations and make the sequestration more comfortable for himself.",United States of America,88,English,4.4,114
175,Kids (1995),Drama,9344,"A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins.",United States of America,91,English,6.9,1117
176,Living in Oblivion (1995),Comedy,9071,"Nick is the director of a low-budget indie film. He tries to keep everything together as his production is plagued with an insecure actress, a megalomaniac star, a pretentious, beret-wearing director of photography, and lousy catering.",United States of America,90,English,7.2,276
177,Lord of Illusions (1995),Horror,8973,"During a routine case in L.A., NY private investigator Harry D'Amour stumbles over members of a fanatic cult who are preparing for the resurrection of their leader Nix, a powerful magician who was killed 13 years earlier.",United States of America,119,English,6.0,321
178,Love & Human Remains (1993),"Comedy,Drama",15730,"In a Canadian metropolis, failed actor David shares a place with the bookish Candy, whom he dated before coming out as gay. While David, who now waits tables, pursues an aimless romance with a younger coworker, Candy dabbles in both same-sex and heterosexual affairs. As David and Candy's odd assortment of friends — including a telepathic sex worker and an ill-tempered yuppie — pass in and out of their beds, a serial murder stalks the city's women.",Canada,100,English,5.8,41
179,Mad Love (1995),"Drama,Romance",47608,"Matt falls for Casey, the new girl in school. She's fun-loving and eccentric, but there's a darkness to her whimsy that Matt can't begin to comprehend. When Casey attempts to commit suicide, her parents place her in a mental institution. Matt springs her out, and together the young lovers head on a road trip. They believe their love can ""cure"" Casey's problems. Matt starts to wonder, though, if are they inspired or misguided.",United States of America,95,English,5.2,104
180,Mallrats (1995),"Comedy,Romance",2293,"Both dumped by their girlfriends, two best friends seek refuge in the local mall. Eventually, they decide to try and win back their significant others and take care of their respective nemeses.",United States of America,94,English,6.8,1216
181,Mighty Morphin Power Rangers: The Movie (1995),"Action,Children",9070,"Six incredible teens out-maneuver and defeat evil everywhere as the Mighty Morphin Power Rangers, but this time the Power Rangers may have met their match when they face off with Ivan Ooze, the most sinister monster the galaxy has ever seen.","Japan,United States of America",96,English,5.8,687
182,Moonlight and Valentino (1995),"Drama,Romance",68274,A young widow still grieving over the death of her husband finds herself being comforted by a local housepainter.,"United Kingdom,United States of America",100,English,5.6,74
183,Mute Witness (1994),"Comedy,Horror,Thriller",48787,"Billy is mute, but it hasn't kept her from becoming a successful makeup artist. While in Russia, working on a film directed by her sister's boyfriend, Andy, Billy finds herself trapped in the studio one night and is horrified to see a snuff film being made. Billy escapes and, with the help of her sister, Kate, alerts authorities about what she saw. Unfortunately, in doing so, she makes an enemy of the Russian mafia, who funded the snuff film.","Germany,Russia,United Kingdom",95,"Pусский,English",6.3,129
184,Nadja (1994),Drama,34574,"In a contemporary New York City, members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted against forces of destruction.",United States of America,93,"English,Deutsch",5.7,48
185,"Net, The (1995)","Action,Crime,Thriller",1642,"Angela Bennett is a freelance computer systems analyst who tracks down software viruses. At night she hooks up to the internet and chats to others 'surfing the net'. While de-bugging a new high-tech game for a cyber friend, she comes across a top secret program and becomes the target of a mysterious organization who will stop at nothing to erase her identity and her existence, in order to protect the project.",United States of America,114,"English,Español",6.0,1328
186,Nine Months (1995),"Comedy,Romance",11472,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.",United States of America,103,"English,Pусский",5.7,632
187,Party Girl (1995),Comedy,36196,"Although Mary has little income, she still finds ways to spend her nights at clubs. After being arrested for throwing an illegal rave, she asks her aunt Judy for bail money. Judy then finds Mary a job at her library so that Mary can repay her. Initially, Mary finds the job as a clerk boring and stifling, and prefers to get to know a street food vendor whom she likes. However, Mary must refocus her life once she loses her job and apartment.",United States of America,94,English,6.4,68
188,"Prophecy, The (1995)","Fantasy,Horror,Mystery",11980,"The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest and a little girl can stop him.",United States of America,98,English,6.5,489
189,Reckless (1995),"Comedy,Fantasy",58372,"On Christmas Eve, a relentlessly cheerful woman escapes from the killers hired by her husband, and embarks on a series of strange encounters.",United States of America,91,English,6.4,7
190,Safe (1995),Thriller,32646,"Carol White, a Los Angeles housewife in the late 1980s, comes down with a debilitating illness with no clear diagnosis.","United Kingdom,United States of America",119,"English,Español",7.0,290
191,"Scarlet Letter, The (1995)","Drama,Romance",10533,"Set in puritanical Boston in the mid 1600s, the story of seamstress Hester Prynne, who is outcast after she becomes pregnant by a respected reverend. She refuses to divulge the name of the father, is ""convicted"" of adultery and forced to wear a scarlet ""A"" until an Indian attack unites the Puritans and leads to a reevaluation of their laws and morals.",United States of America,135,English,6.0,446
192,"Show, The (1995)",Documentary,56088,"A documentary about the culture of hip-hop. Through interviews with some of hip-hops biggest names, the film makers attempt to find out why it has become so popular.",United States of America,93,English,6.4,8
193,Showgirls (1995),Drama,10802,"Fresh to Las Vegas with no connections, Nomi Malone takes a job as an exotic dancer. Her talents are quickly noticed by Cristal, a headlining dancer who senses an opportunity to bolster her own act. But Nomi won’t play second fiddle and soon begins her venomous path to the top, ruthlessly backstabbing anyone who gets in her way.","France,United States of America",131,English,5.6,1210
194,Smoke (1995),"Comedy,Drama",10149,"Writer Paul Benjamin is nearly hit by a bus when he leaves Auggie Wren's smoke shop. Stranger Rashid Cole  saves his life, and soon middle-aged Paul tells homeless Rashid that he wouldn't mind a short-term housemate. Still grieving over his wife's murder, Paul is moved by both Rashid's quest to reconnect with his father and Auggie's discovery that a woman who might be his daughter is about to give birth.","Germany,Japan,United States of America",112,English,7.2,476
195,Something to Talk About (1995),"Comedy,Drama,Romance",18402,"Grace King Bichon, who is managing her father's riding-stable, discovers that her husband Eddie is deceiving her with another woman. After confronting him in the middle of the night on the streets of their small home town, she decides to stay at her sister Emma Rae's house for a while to make up her mind. Breaking out of her everyday life, she starts to question the authority of everyone.",United States of America,106,English,5.7,235
196,Species (1995),"Horror,Sci-Fi",9348,"In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye.",United States of America,108,English,6.0,1621
197,"Stars Fell on Henrietta, The (1995)",Drama,139408,"The setting is early America during the oil boom. An elderly, down on his luck 'oil man', Mr. Cox finds himself in the town of Henrietta. Using unconventional methods, he convinces himself and local Don Day that there is oil on Day's land. The financially strapped Day puts everything into finding oil...but at what cost?",United States of America,109,"English,Magyar",6.1,15
198,Strange Days (1995),"Action,Crime,Drama,Mystery,Sci-Fi,Thriller",281,"Former policeman Lenny Nero has moved into a more lucrative trade: the illegal sale of virtual reality-like recordings that allow users to experience the emotions and past experiences of others. While they typically contain tawdry incidents, Nero is shocked when he receives one showing a murder.",United States of America,145,English,7.0,1315
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Drama,Musical,Romance",5967,"This simple romantic tragedy begins in 1957. Guy Foucher, a 20-year-old French auto mechanic, has fallen in love with 17-year-old Geneviève Emery, an employee in her widowed mother's chic but financially embattled umbrella shop. On the evening before Guy is to leave for a two-year tour of combat in Algeria, he and Geneviève make love. She becomes pregnant and must choose between waiting for Guy's return or accepting an offer of marriage from a wealthy diamond merchant.","France,Germany",92,Français,7.4,753
200,"Tie That Binds, The (1995)",Thriller,79593,"A young couple adopts a traumatized child, unaware that her parents are fugitives and murderers who will do anything to get her back.",United States of America,99,English,4.8,24
201,Three Wishes (1995),"Drama,Fantasy",47939,"While Jane Holman is driving with her two sons, she accidentally runs into a drifter, Jack McCloud, who breaks his leg. Being responsible, Jane invites Jack, and his dog, to stay at her home until his leg has healed. Jack struggles to adapt their lifestyle, and finds himself loved by the family.",United States of America,115,English,6.2,76
202,Total Eclipse (1995),"Drama,Romance",36834,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.","France,Belgium,United Kingdom",111,English,6.4,520
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,9090,"Manhattan drag queens Vida Boheme and Noxeema Jackson impress regional judges in competition, securing berths in the Nationals in Los Angeles. When the two meet pathetic drag novice Chi-Chi Rodriguez — one of the losers that evening — the charmed Vida and Noxeema agree to take the hopeless youngster under their joined wing. Soon the three set off on a madcap road trip across America and struggle to make it to Los Angeles in time.",United States of America,109,"Español,English",7.3,642
204,Under Siege 2: Dark Territory (1995),Action,3512,"A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback.",United States of America,99,English,5.8,898
205,Unstrung Heroes (1995),"Comedy,Drama",52856,"Steven Lidz, unhappy with his home life since his mother became sick, moves in with his two eccentric uncles. As Steven grows closer to his uncles, he learns how to cope with his emotions and to value his own uniqueness.",United States of America,93,English,5.9,29
206,Unzipped (1995),Documentary,77350,"Isaac Mizrahi, one of the most successful designers in high fashion, plans his fall 1994 collection.",United States of America,73,English,5.5,17
207,"Walk in the Clouds, A (1995)","Drama,Romance",9560,World War II vet Paul Sutton falls for a pregnant and unwed woman who persuades him -- during their first encounter -- to pose as her husband so she can face her family.,United States of America,103,English,7.3,966
208,Waterworld (1995),"Action,Adventure,Sci-Fi",9804,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland'—which is tattooed on Enola's back.",United States of America,135,English,6.2,3642
209,White Man's Burden (1995),Drama,31611,"The story takes place in alternative America where the blacks are members of social elite, and whites are inhabitants of inner city ghettos. Louis Pinnock is a white worker in a chocolate factory, loving husband and father of two children. While delivering a package for black CEO Thaddeus Thomas, he is mistaken for a voyeur and, as a result, loses his job, gets beaten by black cops and his family gets evicted from their home. Desperate Pinnock takes a gun and kidnaps Thomas, demanding justice.","France,United States of America",89,English,5.0,78
210,Wild Bill (1995),Western,65796,Biopic about famous gunslinger Wild Bill Hickock. The early career of legendary lawman is telescoped and culminates in his relocation in Deadwood and a reunion with Calamity Jane.,United States of America,98,"""广州话 / 廣州話"",English",5.7,139
211,"Browning Version, The (1994)",Drama,49805,"Andrew Crocker-Harris is an embittered and disliked teacher of Greek and Latin at a British prep school. After nearly 20 years of service, he is being forced to retire for 'health reasons', and perhaps may not even be given a pension. The boys regard him as a Hitler, with some justification. His unfaithful wife Laura tries to hurt him in any way she can. Andrew must come to terms with his failed life and at least regain his own self-esteem.",United Kingdom,97,"ελληνικά,Français,Latin,English",6.5,48
212,Bushwhacked (1995),"Adventure,Comedy,Crime,Mystery",26258,"A inept courier realises he has been used by criminals to deliver money. On the run from both the criminals and police, he poses as a Scout leader and leads a scout group on a hike through the mountains.",United States of America,90,"English,Deutsch",5.2,114
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,50797,"Russia, 1936: revolutionary hero Colonel Kotov is spending an idyllic summer in his dacha with his young wife and six-year-old daughter Nadia and other assorted family and friends. Things change dramatically with the unheralded arrival of Cousin Dmitri from Moscow, who charms the women and little Nadia with his games and pianistic bravura. But Kotov isn't fooled: this is the time of Stalin's repression, with telephone calls in the middle of the night spelling doom - and he knows that Dmitri isn't paying a social call...","France,Russia",135,Pусский,7.1,178
214,Before the Rain (Pred dozhdot) (1994),"Drama,War",19155,"The circularity of violence seen in a story that circles on itself. In Macedonia, during the war in Bosnia, Christians hunt an ethnic Albanian girl who may have murdered one of their own. A young monk who's taken a vow of silence offers her protection. In London, a photographic editor who's pregnant needs to talk it out with her estranged husband and chooses a toney restaurant.","United Kingdom,Macedonia,France",113,"shqip,English,Français",7.3,154
215,Before Sunrise (1995),"Drama,Romance",76,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Austria,United States of America",101,"English,Deutsch,Français",8.0,4080
216,Billy Madison (1995),Comedy,11017,"Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire, but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.",United States of America,90,"Français,Español,English",6.2,1612
217,"Babysitter, The (1995)","Drama,Thriller",37141,"Jennifer (Alicia Silverstone) is a lovely teen who has been hired to baby-sit the kids of Harry Tucker (J.T. Walsh) and his wife, Dolly (Lee Garlington). The Tuckers go to a party and proceed to get inebriated, with Mr. Tucker fantasizing about his beautiful baby sitter. Meanwhile, Jack (Jeremy London), her boyfriend, and Mark (Nicky Katt), another guy interested in her, decide to spy on Jennifer at the Tucker house, with each young man also fixated on her.",United States of America,90,English,5.2,159
218,Boys on the Side (1995),"Comedy,Drama",9382,"After breaking up with her girlfriend, a nightclub singer, Jane, answers a personal ad from Robin, a real estate agent with AIDS, seeking a cross-country travel partner. On their journey from New York City to Los Angeles, the two stop by Pittsburgh to pick up Jane's friend Holly, who is trying to escape an abusive relationship. With three distinct personalities, the women must overcome their differences to help one another.","France,United States of America",115,English,6.3,213
219,"Cure, The (1995)",Drama,6715,"Erik, a loner, finds a friend in Dexter, an eleven-year-old boy with AIDS. They vow to find a cure for AIDS together and save Dexter's life in an eventful summer.",United States of America,97,English,7.9,299
220,Castle Freak (1995),Horror,18256,John Reilly discovers that his family's newly inherited castle in Italy is haunted by a relentless bloodthirsty creature.,United States of America,90,"English,Italiano,svenska",6.2,199
222,Circle of Friends (1995),"Drama,Romance",22625,"Three girlhood friends now at college share first loves, first kisses and first betrayals. At the center of it all is the best-looking boy on campus. Can a self-conscious dreamer hook the biggest fish in the pond?","Ireland,United Kingdom",103,English,6.3,85
223,Clerks (1994),Comedy,2292,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",United States of America,92,English,7.4,2455
224,Don Juan DeMarco (1995),"Comedy,Drama,Romance",1909,"John Arnold DeMarco is a man who believes he is Don Juan, the greatest lover in the world. Clad in a cape and mask, DeMarco undergoes psychiatric treatment with Dr. Jack Mickler to cure him of his apparent delusion. But the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, Dr Mickler, who rekindles the romance in his complacent marriage.",United States of America,97,English,6.7,726
225,Disclosure (1994),"Drama,Thriller",8984,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",United States of America,128,English,6.3,1150
226,Dream Man (1995),Thriller,61813,"Kris is a homicide cop with psychic abilities. She works to prove that the prime suspect in her latest case (the much younger husband of the millionaire victim) is innocent. But are her visions true, or planned by someone who knows what she can see?","United States of America,Canada",94,English,3.4,4
227,Drop Zone (1994),"Action,Thriller",4954,"A daring prison break from an airliner at 30,000 feet leaves U.S. Marshal Pete Nessip mourning a brother and gunning for revenge. After being ordered to turn in his badge, he seeks out Jessie Crossman, a noted skydiver, and offers to sponsor her crew for the annual Independence Day parachuting show in Washington, D.C., if she trains him. Meanwhile, the mastermind behind the mid-air jailbreak is planning a daring computer theft on Independence Day.",United States of America,101,English,5.7,390
228,Destiny Turns on the Radio (1995),Comedy,62488,"Johnny Destiny burns into Las Vegas in his hot Plymouth RoadRunner, stopping only to pick up a stranger stranded in the desert. But then, things aren't always as they seem. Anything can happen in that town of many possibilities...especially since there's been some weird electrical disturbances. As the stranger, fresh out of prison, tries to put his life back together--to recover his money from an old bank heist and the girl he lost in doing the job--something keeps interfering with his plans. Is it fate...or just Destiny?",United States of America,103,"English,Magyar",5.2,40
229,Death and the Maiden (1994),"Drama,Thriller",10531,A political activist is convinced that her guest is a man who once tortured her for the government.,"France,United Kingdom,United States of America",103,English,7.1,489
230,Dolores Claiborne (1995),"Drama,Thriller",11929,"Dolores Claiborne was accused of killing her abusive husband twenty years ago, but the court's findings were inconclusive and she was allowed to walk free. Now she has been accused of killing her employer, Vera Donovan, and this time there is a witness who can place her at the scene of the crime. Things look bad for Dolores when her daughter Selena, a successful Manhattan magazine writer, returns to cover the story.",United States of America,132,English,7.2,748
231,Dumb & Dumber (Dumb and Dumber) (1994),"Adventure,Comedy",8467,"Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart.",United States of America,107,English,6.6,6042
232,Eat Drink Man Woman (Yin shi nan nu) (1994),"Comedy,Drama,Romance",10451,"A retired and widowed Chinese master chef Chu and his family live in modern day Taipei, Taiwan. He lives with his three attractive daughters, all of whom are unattached. Soon, each of the daughters encounter new men in their lives. When these new relationships blossom, stereotypes are broken and the living situation within the family changes.","Taiwan,United States of America",123,普通话,7.6,331
233,Exotica (1994),Drama,20156,"In the upscale Toronto strip club Exotica, dancer Christina is visited nightly by the obsessive Francis, a depressed tax auditor. Her ex-boyfriend, the club's MC, Eric, still jealously pines for her even as he introduces her onstage, but Eric is having his own relationship problems with the club's female owner. Thomas, a mysterious pet-shop owner, is about to become unexpectedly involved in their lives.",Canada,104,"עִבְרִית,English",6.6,326
234,Exit to Eden (1994),Comedy,18395,"Photographer Elliot Slater has inadvertently snapped the only existing photos of elusive jewel thief Omar. When Elliot leaves for a private vacation on an S&M island, he is followed by Omar; Omar's partner, Nina; and police officers Fred and Sheila. Unaware of the number of people chasing him, Elliot enjoys his stay at the resort, and finds himself falling in love with head dominatrix Lisa.",United States of America,114,English,4.1,88
235,Ed Wood (1994),"Comedy,Drama",522,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",United States of America,127,English,7.5,2282
236,French Kiss (1995),"Action,Comedy,Romance",397,"After her fiancee admits to infidelity while on a business trip in France, a woman attempts to get her lover back and marry him by traveling to Paris despite her crippling fear of flying.  On the way she unwittingly smuggles something of value that has a charming crook chasing her across France as she chases after her future husband.","United Kingdom,United States of America",111,"Français,English",6.4,712
237,Forget Paris (1995),"Comedy,Romance",10525,"Mickey Gordon is a basketball referee who travels to France to bury his father. Ellen Andrews is an American living in Paris who works for the airline he flies on. They meet and fall in love, but their relationship goes through many difficult patches.",United States of America,101,English,6.2,150
238,Far From Home: The Adventures of Yellow Dog (1995),"Adventure,Children",27985,"Teenager Angus adopts a stray dog and names him Yellow. Several days later, while travelling along the coast of British Columbia with Angus's father, John, the boy and dog become stranded when turbulent waters capsize their boat. Angus's parents relentlessly badger rescue teams. Angus, schooled by his father in wilderness survival skills, and assisted by the intelligent Yellow Dog, tries to attract rescuers.",United States of America,87,"English,Français",6.1,84
239,"Goofy Movie, A (1995)","Animation,Children,Comedy,Romance",15789,"An endearing modern-day story about how the lovable Goof bonds with his teenage son Max on a hilarious cross-country road trip. En route to the ol' fishing hole, they find themselves up to their floppy ears in misadventure!","Australia,Canada,France,United States of America",78,English,7.0,1733
